rank,shirtnumber,name,team,running_sets,faults,still_sets,total_attempts,average_per_set
188,10,Cristina Chirichella,ITA,1,1,9,11,0.01
189,13,Sarah Luisa Fahr,ITA,1,2,9,12,0.01
190,5,Seyma Ercan,TUR,1,0,10,11,0.01
191,6,Kubra Caliskan,TUR,1,1,17,19,0.01
192,18,Zehra Gunes,TUR,1,1,38,40,0.01
193,19,Asli Kalac,TUR,1,1,8,10,0.01
194,21,Fatma Yildirim,TUR,1,0,7,8,0.01
195,3,Klaudia Alagierska,POL,1,0,9,10,0.01
196,4,Kamila Witkowska,POL,1,1,6,8,0.01
197,13,Paulina Maj-Erwardt,POL,1,0,47,48,0.01
198,5,Ana Paula Borgo Bedani Guedes,BRA,1,0,18,19,0.01
199,6,Julia Isabelle Bergmann,BRA,1,0,0,1,0.01
200,12,Natalia Pereira,BRA,1,0,20,21,0.01
201,12,Jordan Thompson,USA,1,2,25,28,0.01
202,14,Michelle Bartsch-Hackley,USA,1,0,25,26,0.01
203,18,Mikaela Foecke,USA,1,1,17,19,0.01
204,12,Dominika Strumilo,BEL,0,0,2,2,
205,16,Karolina Goliat,BEL,0,0,5,5,
206,21,Manon Stragier,BEL,0,1,2,3,
207,11,Tainara Lemes Santos,BRA,0,0,8,8,
208,15,Ana Carolina Da Silva,BRA,0,0,2,2,
209,26,Natália Araujo,BRA,0,0,21,21,
210,28,Mayany Cristina Araujo De Souza,BRA,0,1,16,17,
211,12,Mariya Karakasheva,BUL,0,0,3,3,
212,17,Elena Becheva,BUL,0,0,1,1,
213,20,Mariya Krivoshiyska,BUL,0,0,3,3,
214,1,Xinyue Yuan,CHN,0,0,22,22,
215,2,Ting Zhu,CHN,0,2,14,16,
216,5,Mingyuan Hu,CHN,0,0,15,15,
217,10,Xiaotong Liu,CHN,0,1,21,22,
218,14,Yixin Zheng,CHN,0,0,6,6,
219,17,Ni Yan,CHN,0,1,22,23,
220,20,Fang Duan,CHN,0,0,11,11,
221,23,Gaila Ceneida Gonzalez Lopez,DOM,0,0,19,19,
222,8,Kimberly Drewniok,GER,0,1,3,4,
223,12,Hanna Orthmann,GER,0,1,13,14,
224,17,Anna Pogany,GER,0,0,31,31,
225,18,Leonie Schwertmann,GER,0,1,8,9,
226,22,Lisa Gründing,GER,0,0,25,25,
227,2,Sara Alberti,ITA,0,0,5,5,
228,9,Caterina Chiara Bosetti,ITA,0,0,10,10,
229,17,Miryam Fatime Sylla,ITA,0,0,4,4,
230,23,Francesca Villani,ITA,0,0,2,2,
231,13,Mai Okumura,JPN,0,0,15,15,
232,18,Akane Moriya,JPN,0,0,29,29,
233,21,Miwako Osanai,JPN,0,0,10,10,
234,11,Su Ji Kim,KOR,0,0,7,7,
235,12,Dae Young Jung,KOR,0,0,7,7,
236,30,Eunji Choi,KOR,0,0,2,2,
237,3,Yvon Belien,NED,0,0,5,5,
238,4,Celeste Plak,NED,0,0,8,8,
239,7,Juliet Lohuis,NED,0,1,22,23,
240,11,Anne Buijs,NED,0,0,11,11,
241,13,Hester Jasper,NED,0,1,6,7,
242,16,Indy Baijens,NED,0,3,4,7,
243,19,Nika Daalderop,NED,0,0,2,2,
244,20,Tessa Polder,NED,0,0,1,1,
245,30,Anniek Siebring,NED,0,0,1,1,
246,8,Maria Stenzel,POL,0,5,141,146,
247,9,Magdalena Stysiak,POL,0,3,28,31,
248,19,Olivia Rozanski,POL,0,0,3,3,
249,24,Monika Jagla,POL,0,0,4,4,
250,3,Ekaterina Efimova,RUS,0,1,14,15,
251,17,Valeriya Zaytseva,RUS,0,0,1,1,
252,23,Olga Zubareva,RUS,0,0,2,2,
253,7,Katarina Jovic,SRB,0,1,3,4,
254,9,Brankica Mihajlovic,SRB,0,0,4,4,
255,13,Ana Bjelica,SRB,0,2,16,18,
256,18,Tijana Boškovic,SRB,0,1,3,4,
257,21,Jovana Kocic,SRB,0,0,4,4,
258,30,Aleksandra Tadic,SRB,0,0,21,21,
259,9,Wanitchaya Luangtonglang,THA,0,0,3,3,
260,14,Chitaporn Kamlangmak,THA,0,0,1,1,
261,7,Hande Baladin,TUR,0,1,11,12,
262,12,Gözde Yilmaz,TUR,0,0,8,8,
263,13,Meryem Boz,TUR,0,0,4,4,
264,16,Yasemin Guveli,TUR,0,0,1,1,
265,6,Tetori Dixon,USA,0,0,10,10,
266,8,Lauren Gibbemeyer,USA,0,0,1,1,
267,10,Jordan Larson,USA,0,0,31,31,
268,13,Sarah Wilhite,USA,0,1,11,12,
269,19,Hannah Tapp,USA,0,1,1,2,
270,20,Dana Rettke,USA,0,0,3,3,
271,21,Simone Lee,USA,0,1,3,4,
272,22,Haleigh Washington,USA,0,0,9,9,
273,24,Chiaka Ogbogu,USA,0,0,24,24,
274,25,Karsta Lowe,USA,0,0,1,1,
275,27,Mary Lake,USA,0,0,36,36,
